location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
Missouri,29,2010-01-30,-2.3333333333333335,1023.3333333333334,2010,201004,4,2010-01-30,1018.3333333333333
Montana,30,2010-01-30,-5.595238095238095,1021.2666666666668,2010,201004,4,2010-01-30,1023.0904761904761
Nebraska,31,2010-01-30,-6.652380952380952,1025.0,2010,201004,4,2010-01-30,1020.604761904762
Nevada,32,2010-01-30,5.89047619047619,1013.6,2010,201004,4,2010-01-30,1016.304761904762
New Hampshire,33,2010-01-30,-3.2714285714285714,1020.6666666666666,2010,201004,4,2010-01-30,1012.7190476190477
New Jersey,34,2010-01-30,0.5428571428571427,1022.8666666666667,2010,201004,4,2010-01-30,1015.0809523809522
New Mexico,35,2010-01-30,0.7904761904761904,1018.6,2010,201004,4,2010-01-30,1017.0666666666667
New York,36,2010-01-30,-2.457142857142857,1025.0666666666666,2010,201004,4,2010-01-30,1013.7
North Carolina,37,2010-01-30,5.219047619047619,1016.1999999999999,2010,201004,4,2010-01-30,1015.4190476190477
North Dakota,38,2010-01-30,-15.18095238095238,1027.1999999999998,2010,201004,4,2010-01-30,1019.3857142857142
Ohio,39,2010-01-30,-2.095238095238095,1023.0,2010,201004,4,2010-01-30,1015.9476190476191
Oklahoma,40,2010-01-30,2.2333333333333334,1024.4333333333334,2010,201004,4,2010-01-30,1018.4047619047618
Oregon,41,2010-01-30,6.976190476190476,1015.4,2010,201004,4,2010-01-30,1015.0714285714286
Pennsylvania,42,2010-01-30,-0.4285714285714288,1022.8499999999999,2010,201004,4,2010-01-30,1015.0619047619049
Rhode Island,44,2010-01-30,-0.35714285714285715,1020.6,2010,201004,4,2010-01-30,1013.8428571428574
South Carolina,45,2010-01-30,9.685714285714285,1012.3666666666667,2010,201004,4,2010-01-30,1016.1857142857143
South Dakota,46,2010-01-30,-11.11904761904762,1024.3999999999999,2010,201004,4,2010-01-30,1020.3142857142857
Tennessee,47,2010-01-30,3.2714285714285714,1016.2333333333332,2010,201004,4,2010-01-30,1016.3380952380952
Texas,48,2010-01-30,10.504761904761907,1021.8333333333334,2010,201004,4,2010-01-30,1016.657142857143
Utah,49,2010-01-30,-0.5285714285714286,1017.8,2010,201004,4,2010-01-30,1019.6857142857143
Vermont,50,2010-01-30,-4.0285714285714285,1024.9,2010,201004,4,2010-01-30,1011.9714285714284
Virginia,51,2010-01-30,6.414285714285713,1017.7333333333332,2010,201004,4,2010-01-30,1015.8238095238095
Washington,53,2010-01-30,5.1000000000000005,1015.2999999999998,2010,201004,4,2010-01-30,1016.5190476190476
West Virginia,54,2010-01-30,0.30476190476190457,1020.25,2010,201004,4,2010-01-30,1015.6333333333333
Wisconsin,55,2010-01-30,-7.766666666666667,1025.5,2010,201004,4,2010-01-30,1013.7952380952381
